,종목코드,종목명,시장구분,업종명,시가총액
0,095570,AJ네트웍스,KOSPI,서비스업,233877363525.0
1,006840,AK홀딩스,KOSPI,기타금융,384841647050.0
2,027410,BGF,KOSPI,기타금융,723618939960.0
3,282330,BGF리테일,KOSPI,유통업,2799992772000.0
4,138930,BNK금융지주,KOSPI,기타금융,2200062910500.0
5,001460,BYC,KOSPI,섬유의복,239539852500.0
6,001465,BYC우,KOSPI,섬유의복,35107755000.0
7,001040,CJ,KOSPI,기타금융,2713460814000.0
8,079160,CJ CGV,KOSPI,서비스업,945945000000.0
9,00104K,CJ4우(전환),KOSPI,기타금융,314029841600.0
10,000120,CJ대한통운,KOSPI,운수창고업,4060597232000.0
11,011150,CJ씨푸드,KOSPI,음식료품,185043480950.0
12,011155,CJ씨푸드1우,KOSPI,음식료품,7460000000.0
13,001045,CJ우,KOSPI,기타금융,131092934000.0
14,097950,CJ제일제당,KOSPI,음식료품,6322758120000.0
15,097955,CJ제일제당 우,KOSPI,음식료품,253539703000.0
16,000590,CS홀딩스,KOSPI,기타금융,80929188200.0
17,012030,DB,KOSPI,서비스업,187091757690.0
18,016610,DB금융투자,KOSPI,증권,283541878520.0
19,005830,DB손해보험,KOSPI,보험,3263880000000.0
20,000990,DB하이텍,KOSPI,전기전자,2473001351600.0
21,000995,DB하이텍1우,KOSPI,전기전자,12354760000.0
22,139130,DGB금융지주,KOSPI,기타금융,1378538538950.0
23,001530,DI동일,KOSPI,유통업,421619139000.0
24,000210,DL,KOSPI,기타금융,1314051396200.0
25,001880,DL건설,KOSPI,건설업,809355522800.0
26,000215,DL우,KOSPI,기타금융,74104754250.0
27,375500,DL이앤씨,KOSPI,건설업,2458559726000.0
28,37550K,DL이앤씨우,KOSPI,건설업,160232483000.0
29,004840,DRB동일,KOSPI,기타금융,135125400000.0
30,155660,DSR,KOSPI,철강금속,98720000000.0
31,069730,DSR제강,KOSPI,철강금속,84240000000.0
32,017940,E1,KOSPI,유통업,308014000000.0
33,365550,ESR켄달스퀘어리츠,KOSPI,서비스업,876745080000.0
34,007700,F&F,KOSPI,섬유의복,2363900000000.0
35,114090,GKL,KOSPI,서비스업,998969070500.0
36,078930,GS,KOSPI,기타금융,3614408204200.0
37,006360,GS건설,KOSPI,건설업,3885559950600.0
38,001250,GS글로벌,KOSPI,유통업,213762448760.0
39,007070,GS리테일,KOSPI,유통업,2929850000000.0
40,078935,GS우,KOSPI,기타금융,58899258000.0
41,012630,HDC,KOSPI,기타금융,749758598550.0
42,039570,HDC아이콘트롤스,KOSPI,건설업,175299000000.0
43,089470,HDC현대EP,KOSPI,화학,200970000000.0
44,294870,HDC현대산업개발,KOSPI,건설업,1917903303000.0
45,011200,HMM,KOSPI,운수창고업,10168348680450.0
46,082740,HSD엔진,KOSPI,기계,361334855800.0
47,003560,IHQ,KOSPI,서비스업,352428152680.0
48,175330,JB금융지주,KOSPI,기타금융,1304026758280.0
49,234080,JW생명과학,KOSPI,의약품,304023436800.0
50,001060,JW중외제약,KOSPI,의약품,637581809600.0
51,001067,JW중외제약2우B,KOSPI,의약품,6046820000.0
52,001065,JW중외제약우,KOSPI,의약품,6469364700.0
53,096760,JW홀딩스,KOSPI,기타금융,326806644050.0
54,105560,KB금융,KOSPI,기타금융,21871496592000.0
55,002380,KCC,KOSPI,화학,2417120112000.0
56,009070,KCTC,KOSPI,운수창고업,184200000000.0
57,009440,KC그린홀딩스,KOSPI,기타금융,112399249800.0
58,119650,KC코트렐,KOSPI,기계,119600000000.0
59,092220,KEC,KOSPI,전기전자,270760100800.0
60,016380,KG동부제철,KOSPI,철강금속,1560138793200.0
61,016385,KG동부제철우,KOSPI,철강금속,6459585000.0
62,001390,KG케미칼,KOSPI,화학,381317640000.0
63,001940,KISCO홀딩스,KOSPI,철강금속,325184288000.0
64,025000,KPX케미칼,KOSPI,화학,315084000000.0
65,092230,KPX홀딩스,KOSPI,화학,265730233400.0
66,000040,KR모터스,KOSPI,운수장비,135073002040.0
